"1",2,1.8,0.5,0.2
"2",1,1.8,0.5,1.2
"9",91.2,98.2,154.5,129
"10",0,0.8,0,2.2
"12",2,0,0.5,2.2
"13",18.2,24.8,25.2,36.5
"14",2466,2239.2,2250.8,2450.8
"16",4732,5688.5,3984.5,5040
"18",164.5,217.2,128.5,269.2
"19",10.8,2.8,18.5,2.2
"20",2437.8,2315.2,2039.5,2998.8
"21",315.5,369.8,322.8,607
"22",441.2,536.8,397.8,383
"23",1582.5,1675.5,1602.8,1450.8
"24",20.8,17,19.2,11.8
"25",1374.8,1621.2,1290,1683
"26",8.5,13.5,16.2,21.2
"27",808.8,853.8,988.5,1061.5
"28",10.8,5.8,20,6
"29",1427.2,1326.5,1648.5,1807.5
"30",709.2,584.8,683.2,681.8
"31",3454.2,4179,3118,4117.5
"32",187.2,238.8,134.2,219.5
"34",1031,1001,615.2,575.8
"35",374,330.2,356,435.5
"36",664.2,740,532.5,602.8
"37",5133.2,4716.2,4911,6597
"38",1939.8,1659,1736.2,1372
"39",626,678.5,490.8,554.5
"41",428.8,381.8,418,473.5
"43",44.5,37.5,63.8,83.5
"47",6621.2,7985.2,6062,8114.2
"48",1267.2,1431.5,1191.5,1271.5
"49",3,5.8,8.8,5
"50",2342.2,2327,2050.8,2437.8
"51",1049.8,1403.2,1434.5,1583.8
"52",1510.8,1239.2,1463.8,1008.2
"53",327.8,322.8,436,353.2
"55",7.5,9.2,10.5,9
"56",2,0,1.5,0.2
"58",4,1.8,1.5,2.2
"59",108.5,156.5,157.5,240.8
"60",37093.5,41442.5,43654.5,50483.8
"71",125724,125724,125724,125724
"72",2,0,0,0.2
"81",10725.8,11293,14814.5,19496.5
"86",1036.5,1116.5,906,734.5
"87",3816.8,4409,3597.5,5456.5
"88",4,5.8,7.8,4.2
"89",0,0.8,0,1.2
"90",343.5,357.5,287.5,329.8
"91",574.5,664.2,621.8,713.2
"92",215.5,233.8,187,204
"93",433.5,455.2,430.5,474.2
"94",18.2,18,34.5,36.5
"95",444,476,411.8,606.5
"97",174.5,118.8,121.5,88.8
"98",60.8,53.2,45.8,39.2
"100",372.5,396.8,370.5,403.8
"101",13.2,10,16.2,18.8
"102",1753.2,2268,1839.5,2155.8
"103",5184.2,6755.5,5374.5,7421.2
"104",395.5,336.5,305,392
"109",938.5,780.8,790.8,675.8
"111",2,5.8,0.5,3.5
"112",456.5,436,666.5,720.8
"113",605.2,579.2,557,667
"115",338.8,353,320,411
"117",3,4.8,1.5,3.5
"118",2347.2,2810.8,2740.5,3330.2
"120",1042.5,1389.2,1116.5,1279.8
"123",756.2,707.2,731.5,651.2
"126",0,0.8,0,0.2
"128",2583,2380,2365.5,2222.5
"132",919,1133.8,972,1099
"133",522,275.5,710.2,500.8
"134",97.8,75.2,60.2,49.2
"135",105,102.5,88.8,145
"136",668.5,622.5,715.5,591.5
"141",46.8,44,56.8,40.5
"142",6787.8,7054.8,6517,5806
"143",2690.8,3257.2,2714,3047
"147",2,1.8,0,1.2
"150",3,0,1.5,0.2
"151",16.5,11.2,18.5,17.8
"152",293.8,205.8,300.2,270
"153",21.5,25.8,26,42
"154",10.8,13,19.2,22.5
"156",1701.8,1542,1865.2,1777
"157",480.2,569.2,486.8,556.5
"158",2287.5,2170.2,2239.2,1891.2
"159",1006.2,1279.8,1076.5,815.8
"160",2131.2,2246.8,2138,2709
"161",1415,1210,1410,1404.5
"162",2515,2740.5,2332.8,3480.2
"163",5718.5,6970,6597,7010.5
"164",2381.8,2814.8,2113.2,2583
"166",2740.5,2219.5,2299.2,2391.5
"175",63.2,73.8,74,61.2
"177",64.2,45.5,48.5,40.5
"178",912.2,1169.2,859.5,982.8
"182",1079.8,758,779.8,667.5
"191",9329,10082.5,8520,10257.5
"196",651.2,873,696.5,873.5
"197",1,0.8,1.5,1.2
"199",0,0.8,1.5,0
"202",714,1069.5,750.2,1036.2
"203",610.5,596.8,852,993.5
"204",4223.8,3848.5,3628.2,2974
"205",1503.2,1356.5,1057.8,973.8
"207",3166.2,2931,2079,2478.2
"208",1607.2,1543.2,1604,1952.5
"210",419.5,317,440.5,396.8
"211",1595,1768.5,1985,2335
"214",2113.2,2940,3951,4358
"215",184.2,164.8,184.5,233
"216",6.5,2.8,6.2,0.5
"217",592.8,623.5,703.8,739.2
"218",19.5,23.2,17.2,8
"219",1764,1723.8,1151.5,1212.8
"220",7349.5,7499.8,9230.8,7054.8
"221",282.2,269.5,416.8,346.5
"222",1,1.8,0.5,0.5
"223",1173.2,1233.8,958.8,949.2
"224",1721.2,1683.8,1851.5,1804.8
"225",2,6.8,2.5,1.2
"226",20336.2,19307.2,22775.8,30961
"230",721.2,652.8,569,1324.8
"231",788,627.5,1003,662
"240",88.8,79.5,55,136.8
"242",18.2,18,13,17
"246",8.5,6.8,8.8,8
"247",3,1.8,0.5,2.2
"248",0,0,0.5,0.5
"249",9.5,13,4.5,12.5
"250",4,0.8,7,2.2
"251",2,1.8,5.2,1.2
"262",2574,2782.2,2854.2,2378
"267",1361.2,1424.8,1405.8,1471.8
"268",179,78.8,184.5,120.2
"269",0,1.8,0,1.2
"271",917.5,777,890,1075.2
"272",345,364.8,371.2,382
"274",525.5,523.8,797,802
"275",19.5,35,22.2,29
"280",8.5,6.8,14.8,10.2
"283",85.5,69.5,55.8,73
"285",24,27.8,36.8,18.8
"286",19.5,6.8,48.5,15
"287",87.2,100.5,98.8,122.8
"288",112,158.8,106.5,216.5
"290",2,3.8,3.2,11
"291",899.5,849.2,884.2,1050.5
"292",7572,7642.2,5730,5688.5
"293",5358.5,4532.5,5133.2,5374.5
"301",13022.2,15013.8,13535.8,13308.8
"302",21479.5,20074.8,23444,23444
"306",2045,1484,1565,1041.8
"307",874.5,912,881.8,994.5
"308",5334.2,5230.2,5160.2,5197
"309",2548.2,2423,1762.2,2517
"310",1724.8,1973.2,2118.2,1845.5
"311",1970.8,2099.2,2783.8,2933.8
"313",11,13.8,18.5,11
"314",157,176,123,182.5
"316",4,12,23,21.2
"317",483.5,565.5,407,424.8
"318",324.2,308.2,292.2,300.2
"320",14.2,30.5,27.5,43.2
"321",11,6.8,3.2,11
"322",260,273.8,219,331.2
"323",1542,2002.8,2150.2,2598.8
"324",691,842.2,755,816
"327",3723,3782.2,2797.2,3696
"328",2974,2697.5,2745.8,2209
"329",810.8,1012.8,835.5,986.2
"432",7.5,12,7.8,9
"435",833.2,812,747.8,1058.5
"439",1428,1200.5,1395.8,1190
"440",1743,2124,1186.2,1378.2
"444",7849.5,12439.8,10273.2,13666
"445",1604,1575.2,1105,1767.2
"460",3,0,0.5,0
"462",2,0,3.2,0.5
"463",318.5,337.8,303.2,360.8
"466",239.5,323.5,280,286
"467",570.8,411.2,554,472
"468",6818.8,6217,5487,4841
"471",2109.8,2087.8,1891.2,1570.5
"472",451,421.2,490.8,424.8
"473",824.2,867.5,880.5,1059
"474",5.5,4.8,6.2,4.2
"475",383.8,284.5,427.8,303.5
"476",7985.2,8444.2,7629,8444.2
"478",928,762.8,690.2,851.2
"479",3,14.5,7,16
"481",557,447,719.5,477.8
"483",2782.2,2357.5,2230,2039.5
"486",1,0,0,2.2
"487",49.2,53.8,72.8,77.5
"488",7394.5,8557.8,8002.8,8002.8
"489",702.2,687.8,630.2,883.5
"490",1479.2,1641,1307.2,1396.8
"491",2,6.8,1.5,2.2
"493",1778.2,2063,1583.2,2138
"495",5.5,3.8,1.5,3.5
"498",10382,10665.8,10015,9570.8
"501",1414,1270.2,1312.2,1073.8
"506",16632.5,17054.2,17106.5,14713
"509",2531.8,2222.5,2318,1836.8
"513",2087.8,1105.8,1608,1286.5
"514",2248.5,1728.5,2527.2,1530
"515",3464.5,3152.2,2971.2,2440.2
"516",1691.8,1099,1464,969.8
"517",1920.2,1472.2,1841.5,1588
