"1",1,2,1,1
"2",1,1,1,1
"9",36,44,86,60
"10",0,0,0,2
"12",2,0,0,3
"13",8,11,13,17
"14",2081,2490,2406,2091
"16",3455,5001,3534,3708
"18",158,244,144,234
"19",12,3,23,3
"20",3189,3755,3112,3325
"21",324,486,393,579
"22",334,448,339,302
"23",1261,1639,1519,1185
"24",23,22,24,15
"25",1346,1976,1489,1518
"26",19,33,37,41
"27",608,763,839,832
"28",23,13,45,11
"29",1712,2207,2302,1945
"30",693,759,794,642
"31",2628,3633,2965,3428
"32",177,263,150,196
"34",1070,1151,735,620
"35",452,521,480,482
"36",536,672,450,501
"37",5068,5529,6097,5664
"38",1505,1506,1611,1255
"39",511,622,470,470
"41",392,438,444,428
"43",110,131,176,191
"47",4840,6958,5394,5661
"48",985,1329,1080,1081
"49",4,13,20,9
"50",2039,2633,2128,2071
"51",825,1292,1313,1312
"52",1141,1066,1220,816
"53",339,429,510,364
"55",9,14,16,14
"56",2,0,2,1
"58",7,3,2,3
"59",94,146,138,191
"60",18662,27622,25783,21961
"71",54858,67924,68364,63638
"72",3,0,0,1
"81",10903,12102,14486,11478
"86",893,1074,867,632
"87",3433,5198,3803,4986
"88",12,17,27,13
"89",0,1,0,2
"90",302,331,278,288
"91",470,658,581,583
"92",130,141,125,133
"93",433,604,502,476
"94",35,41,70,61
"95",442,628,482,578
"97",140,116,111,76
"98",21,19,18,14
"100",350,456,392,376
"101",30,32,48,58
"102",1367,1988,1751,1945
"103",3120,5529,3935,4738
"104",334,353,308,330
"109",816,867,822,606
"111",2,16,1,6
"112",459,571,770,657
"113",616,757,665,626
"115",325,410,346,385
"117",7,13,2,8
"118",1828,2490,2389,2616
"120",897,1292,1063,1164
"123",595,660,679,530
"126",0,0,0,1
"128",1809,2023,1956,1800
"132",760,1098,927,993
"133",615,407,977,545
"134",128,131,102,76
"135",136,172,144,168
"136",549,615,689,476
"141",71,83,97,72
"142",5009,5721,5336,3930
"143",1909,2617,2284,2368
"147",2,3,0,2
"150",3,0,1,1
"151",29,29,35,34
"152",490,522,622,503
"153",56,95,86,124
"154",13,16,24,26
"156",1653,1912,2106,1610
"157",362,471,413,430
"158",1801,2061,2058,1520
"159",844,1209,1031,720
"160",2035,2784,2443,2387
"161",1256,1357,1491,1231
"162",2126,2924,2481,2892
"163",3990,5299,5237,4982
"164",1909,2727,1917,2357
"166",2475,2759,2639,2168
"175",37,47,48,39
"177",90,89,86,63
"178",950,1343,1069,1149
"182",850,762,740,541
"191",8583,12117,10215,8511
"196",519,818,637,806
"197",1,1,3,2
"199",0,1,2,0
"202",547,967,638,807
"203",539,680,888,842
"204",2757,3265,2969,2317
"205",1161,1267,916,778
"207",3015,3753,2327,2255
"208",1394,1708,1642,1674
"210",419,420,514,410
"211",1266,1668,1788,1842
"214",1691,2785,4496,4267
"215",339,420,406,441
"216",5,2,7,1
"217",525,718,706,659
"218",37,52,40,17
"219",1506,1894,1191,1052
"220",5581,6690,7308,5245
"221",321,400,570,374
"222",0,3,1,1
"223",907,1136,874,786
"224",1303,1456,1586,1494
"225",1,3,2,1
"226",14275,16098,17527,14474
"230",582,653,532,1095
"231",642,621,952,535
"240",112,126,95,149
"242",28,37,30,31
"246",16,16,20,16
"247",4,3,1,3
"248",0,0,1,1
"249",20,31,10,26
"250",7,1,15,3
"251",2,3,10,2
"262",2125,2694,2830,2090
"267",1058,1416,1304,1203
"268",326,232,407,245
"269",0,3,0,2
"271",913,1013,1015,1007
"272",302,384,376,319
"274",621,818,1084,889
"275",30,71,46,52
"280",3,3,7,5
"283",73,71,62,63
"285",8,9,13,8
"286",30,16,85,27
"287",71,91,86,105
"288",66,113,68,155
"290",2,7,7,21
"291",727,860,841,881
"292",5463,6175,4317,3781
"293",7474,7563,8462,6049
"301",11723,16110,14495,14486
"302",14285,13013,17542,16159
"306",1634,1380,1490,926
"307",684,828,800,848
"308",4840,5195,5333,5132
"309",1909,2322,1670,1958
"310",1367,1828,1917,1494
"311",1889,2579,3315,2641
"313",13,22,28,17
"314",180,231,168,192
"316",4,18,30,26
"317",474,601,433,432
"318",250,285,278,253
"320",29,60,57,66
"321",23,15,6,22
"322",278,378,280,338
"323",1209,1935,2021,1983
"324",705,932,889,904
"327",3899,4813,3355,3128
"328",2166,2402,2406,1700
"329",845,1176,1017,1154
"432",12,30,18,17
"435",820,1069,863,985
"439",1274,1343,1483,1015
"440",1358,1877,1126,1262
"444",5066,9460,8029,11484
"445",1379,1748,1139,1495
"460",5,0,1,0
"462",2,0,3,1
"463",304,405,337,345
"466",148,229,208,199
"467",442,390,495,390
"468",5068,5005,4102,3328
"471",1479,1788,1625,1255
"472",437,424,571,433
"473",804,1135,1009,988
"474",9,12,12,7
"475",334,260,415,259
"476",5005,6265,5560,6049
"478",930,986,804,791
"479",3,18,10,20
"481",412,362,617,378
"483",2331,2127,2003,1849
"486",1,0,0,4
"487",74,94,114,100
"488",4634,6690,6695,5502
"489",807,1052,872,989
"490",1665,2102,1642,1745
"491",2,16,3,4
"493",1422,1967,1371,1656
"495",9,9,2,5
"498",7474,8493,8029,6577
"501",1098,1163,1190,908
"506",11730,13021,17557,10729
"509",2079,1949,2108,1593
"513",4106,2633,3319,2071
"514",1760,1552,2404,1370
"515",2280,2508,2478,1902
"516",1358,1081,1365,806
"517",1515,1456,1751,1321
"518",3118,2632,3317,2114
"521",651,437,734,386
"522",1190,1031,1321,752
"523",1098,1619,996,1081
"525",0,2,5,0
"526",1066,1184,1262,1109
"527",2232,2549,2267,1873
"528",2454,2855,1946,1725
"529",1377,1390,1545,1174
"533",1338,1266,1321,954
"534",13,15,26,11
"535",771,990,1010,1074
"537",1000,1226,1536,1253
"538",205,297,290,323
"539",1900,1811,2003,1510
"540",263,325,331,327
"545",904,1075,882,746
"546",1013,1276,1566,1371
"547",28,54,6,39
"549",124,200,207,172
"550",1974,2231,2162,1787
"552",1,1,2,8
"558",746,1077,2567,1484
"563",7,37,9,28
"567",3455,3755,4828,3928
"570",0,0,2,1
"571",295,460,328,416
"572",858,792,953,764
"573",688,674,750,399
"575",149,140,161,148
"576",459,569,413,421
"578",714,824,979,825
"579",60,87,78,74
"580",224,276,214,179
"581",1028,941,1189,916
"582",210,246,220,203
"583",445,507,513,462
"585",176,178,159,189
"587",654,813,730,686
"590",0,0,0,0
"593",221,238,193,234
"594",104,143,109,106
"595",7887,7924,12190,8018
"596",147,207,144,144
"598",2432,2983,3077,2616
"599",496,421,697,391
"602",315,309,336,340
"604",269,351,325,400
"605",287,299,344,294
"607",586,756,700,724
"610",215,208,206,210
"613",1038,1504,1251,1168
"617",464,473,450,363
"622",360,452,352,288
"623",15,31,14,25
"624",49,119,96,114
"627",651,527,1381,519
"629",4,10,21,22
"631",132,145,131,119
"632",23,0,6,3
"634",17,24,69,49
"636",291,355,317,304
"637",636,676,703,472
"638",298,234,364,217
"639",72,134,88,143
"641",661,745,651,515
"642",991,1209,947,777
"644",431,520,408,396
"645",1232,1732,1396,1723
"648",1131,1571,1463,1583
"649",556,556,799,634
"650",50,89,65,70
"652",2648,1417,2389,837
"653",3,0,3,1
"654",111,124,95,85
"655",275,289,291,210
"656",610,1018,762,813
"657",546,707,685,689
"658",0,1,0,0
"659",375,584,483,713
"661",568,648,724,575
"662",183,164,200,168
"663",868,1311,1064,1047
"664",600,626,939,930
"665",618,919,741,980
"666",1219,1652,1288,1292
"667",3017,3039,3845,3266
"669",148,192,191,158
"670",265,305,342,250
"672",960,1018,855,601
"673",392,528,581,556
"675",348,406,345,206
"677",7136,10676,8858,5343
"678",869,1008,920,740
"682",54858,67924,68364,63638
"683",2,1,3,3
"684",26,38,48,81
"685",58,50,83,63
"686",81,98,73,78
"687",176,344,155,270
"688",1066,1443,1987,1471
"689",5316,5198,5396,3859
"694",348,397,555,487
"695",14,14,9,11
"696",27,17,4,26
"699",1900,2429,1800,1768
"701",1793,2089,1681,1321
"705",695,771,819,555
"706",1852,1532,2371,1495
"708",4272,4246,4745,2707
"710",27,11,39,5
"715",89,80,107,56
"716",15,19,13,27
"717",1,25,21,26
"718",40,79,65,72
"720",31,32,42,29
"721",24,36,37,63
"726",343,546,432,583
"727",0,3,2,4
"728",50,61,60,47
"729",0,0,0,0
"733",11,12,18,4
"734",803,1046,932,895
"738",1332,1490,1607,1208
"740",1415,1641,1521,1019
"741",239,362,398,259
